Fecha,Predicciones
10/21/2013,714.71
10/22/2013,1078.42
10/23/2013,1216.13
10/24/2013,1240.01
10/25/2013,1265.58
10/26/2013,365.06
10/27/2013,3.05
10/28/2013,714.71
10/29/2013,1078.42
10/30/2013,1216.13
10/31/2013,1240.01
11/1/2013,1255.61
11/2/2013,362.18
11/3/2013,3.03
11/4/2013,709.09
11/5/2013,1069.93
11/6/2013,1206.55
11/7/2013,1230.25
11/8/2013,1255.61
11/9/2013,362.18
11/10/2013,3.03
11/11/2013,709.09
11/12/2013,1069.93
11/13/2013,1206.55
11/14/2013,1230.25
11/15/2013,1255.61
11/16/2013,362.18
11/17/2013,3.03
11/18/2013,709.09
11/19/2013,1069.93
11/20/2013,1206.55
11/21/2013,1230.25
11/22/2013,1255.61
11/23/2013,362.18
11/24/2013,3.03
11/25/2013,709.09
11/26/2013,1069.93
11/27/2013,1206.55
11/28/2013,1230.25
11/29/2013,1255.61
11/30/2013,362.18
12/1/2013,4.26
12/2/2013,997.81
12/3/2013,1505.58
12/4/2013,1697.83
12/5/2013,1731.18
12/6/2013,1766.86
12/7/2013,509.65
12/8/2013,4.26
12/9/2013,997.81
12/10/2013,1505.58
12/11/2013,1697.83
12/12/2013,1731.18
12/13/2013,1766.86
12/14/2013,509.65
12/15/2013,4.26
12/16/2013,997.81
12/17/2013,1505.58
12/18/2013,1697.83
12/19/2013,1731.18
12/20/2013,1766.86
12/21/2013,509.65
12/22/2013,4.26
12/23/2013,997.81
12/24/2013,1505.58
12/25/2013,1697.83
12/26/2013,1731.18
12/27/2013,1766.86
12/28/2013,509.65
12/29/2013,4.26
12/30/2013,997.81
12/31/2013,1505.58
1/1/2014,974.93
1/2/2014,994.08
1/3/2014,1014.57
1/4/2014,292.65
1/5/2014,2.45
1/6/2014,572.96
1/7/2014,864.54
1/8/2014,974.93
1/9/2014,994.08
1/10/2014,1014.57
1/11/2014,292.65
1/12/2014,2.45
1/13/2014,572.96
1/14/2014,864.54
1/15/2014,974.93
1/16/2014,994.08
1/17/2014,1014.57
1/18/2014,292.65
1/19/2014,2.45
1/20/2014,572.96
1/21/2014,864.54
1/22/2014,974.93
1/23/2014,994.08
1/24/2014,1014.57
1/25/2014,292.65
1/26/2014,2.45
1/27/2014,572.96
1/28/2014,864.54
1/29/2014,974.93
1/30/2014,994.08
1/31/2014,1014.57
2/1/2014,355.62
2/2/2014,2.97
2/3/2014,696.25
2/4/2014,1050.55
2/5/2014,1184.70
2/6/2014,1207.97
2/7/2014,1232.87
2/8/2014,355.62
2/9/2014,2.97
2/10/2014,696.25
2/11/2014,1050.55
2/12/2014,1184.70
